Municipio,Date,Precipitação Prevista (mm)
SÃO PAULO,2025-05-17,0
SÃO PAULO,2025-05-17,0
SÃO PAULO,2025-05-18,0
SÃO PAULO,2025-05-18,0
SÃO PAULO,2025-05-18,0
SÃO PAULO,2025-05-18,0
SÃO PAULO,2025-05-18,0
SÃO PAULO,2025-05-18,0
SÃO PAULO,2025-05-18,0
SÃO PAULO,2025-05-18,0
SÃO PAULO,2025-05-19,0
SÃO PAULO,2025-05-19,0
SÃO PAULO,2025-05-19,0
SÃO PAULO,2025-05-19,0
SÃO PAULO,2025-05-19,0
SÃO PAULO,2025-05-19,0
SÃO PAULO,2025-05-19,0
SÃO PAULO,2025-05-19,0
SÃO PAULO,2025-05-20,0
SÃO PAULO,2025-05-20,0
SÃO PAULO,2025-05-20,0
SÃO PAULO,2025-05-20,0
SÃO PAULO,2025-05-20,0
SÃO PAULO,2025-05-20,0
SÃO PAULO,2025-05-20,0
SÃO PAULO,2025-05-20,0
SÃO PAULO,2025-05-21,0
SÃO PAULO,2025-05-21,0
SÃO PAULO,2025-05-21,0
SÃO PAULO,2025-05-21,0
SÃO PAULO,2025-05-21,0
SÃO PAULO,2025-05-21,0
SÃO PAULO,2025-05-21,0
SÃO PAULO,2025-05-21,0
SÃO PAULO,2025-05-22,0
SÃO PAULO,2025-05-22,0
SÃO PAULO,2025-05-22,0
SÃO PAULO,2025-05-22,0
SÃO PAULO,2025-05-22,0
SÃO PAULO,2025-05-22,0
RIO DE JANEIRO,2025-05-17,0
RIO DE JANEIRO,2025-05-17,0
RIO DE JANEIRO,2025-05-18,0
RIO DE JANEIRO,2025-05-18,0
RIO DE JANEIRO,2025-05-18,0
RIO DE JANEIRO,2025-05-18,0
RIO DE JANEIRO,2025-05-18,0
RIO DE JANEIRO,2025-05-18,0
RIO DE JANEIRO,2025-05-18,0
RIO DE JANEIRO,2025-05-18,0
RIO DE JANEIRO,2025-05-19,0
RIO DE JANEIRO,2025-05-19,0
RIO DE JANEIRO,2025-05-19,0
RIO DE JANEIRO,2025-05-19,0
RIO DE JANEIRO,2025-05-19,0
RIO DE JANEIRO,2025-05-19,0
RIO DE JANEIRO,2025-05-19,0
RIO DE JANEIRO,2025-05-19,0
RIO DE JANEIRO,2025-05-20,0
RIO DE JANEIRO,2025-05-20,0
RIO DE JANEIRO,2025-05-20,0
RIO DE JANEIRO,2025-05-20,0
RIO DE JANEIRO,2025-05-20,0
RIO DE JANEIRO,2025-05-20,0
RIO DE JANEIRO,2025-05-20,0
RIO DE JANEIRO,2025-05-20,0
RIO DE JANEIRO,2025-05-21,0
RIO DE JANEIRO,2025-05-21,0
RIO DE JANEIRO,2025-05-21,0
RIO DE JANEIRO,2025-05-21,0
RIO DE JANEIRO,2025-05-21,0
RIO DE JANEIRO,2025-05-21,0
RIO DE JANEIRO,2025-05-21,0
RIO DE JANEIRO,2025-05-21,0
RIO DE JANEIRO,2025-05-22,0
RIO DE JANEIRO,2025-05-22,0
RIO DE JANEIRO,2025-05-22,0
RIO DE JANEIRO,2025-05-22,0
RIO DE JANEIRO,2025-05-22,0
RIO DE JANEIRO,2025-05-22,0
