municipio,threshold_chuva_7d
APERIBÉ,0.0
ARRAIAL DO CABO,0.9
ARTUR NOGUEIRA,0.0
BOM JESUS DO ITABAPOANA,0.0
CAJAMAR,0.0
CAMPOS DOS GOYTACAZES,1.2
CANTAGALO,0.0
CARAPEBUS,0.0
CHARQUEADA,0.0
COMENDADOR LEVY GASPARIAN,0.0
DIADEMA,0.0
DUQUE DE CAXIAS,45.8
FRANCISCO MORATO,0.0
IBIÚNA,0.0
ITABERÁ,0.0
ITAPEVA,31.0
ITAPEVI,0.0
ITÁPOLIS,0.0
LIMEIRA,0.0
MACUCO,0.0
MAGÉ,0.0
MARICÁ,0.0
MIGUEL PEREIRA,0.0
MIRACEMA,0.0
MONGAGUÁ,0.0
MONTE MOR,0.0
NILÓPOLIS,0.0
PACAEMBU,0.0
PORCIÚNCULA,0.0
PORTO FERREIRA,0.0
RAFARD,0.0
RIO CLARO,88.6
SANTA BÁRBARA D`OESTE,0.0
SANTA MARIA MADALENA,107.2
SANTO ANTÔNIO DE PÁDUA,0.0
SAPUCAIA,0.0
SAQUAREMA,380.6
SILVA JARDIM,22.200000000000003
SÃO MIGUEL ARCANJO,0.0
TERRA ROXA,0.0
VALENÇA,0.0
VALINHOS,0.0
VASSOURAS,0.0
